구분명,측정일,수위비율
강남,2022-06-01,0.10722520968893384
강남,2022-06-02,0.11247613600257263
강남,2022-06-03,0.10749104069312183
강남,2022-06-04,0.11124834965758879
강남,2022-06-05,0.11084005287396305
강남,2022-06-06,0.11141644176285194
강남,2022-06-07,0.11131362743536657
강남,2022-06-08,0.11186041106109756
강남,2022-06-09,0.11220968006694551
강남,2022-06-10,0.11243902948215019
강남,2022-06-11,0.11119454848799815
강남,2022-06-12,0.11055503825408002
강남,2022-06-13,0.10136016582980621
강남,2022-06-14,0.07191435824966876
강남,2022-06-15,0.08499313545472424
강남,2022-06-16,0.079971159148147
강남,2022-06-17,0.0761460984814859
강남,2022-06-18,0.07464906764638223
강남,2022-06-19,0.07322631820358766
강남,2022-06-20,0.07616558117519759
강남,2022-06-21,0.07508785743680849
강남,2022-06-22,0.073147238952051
강남,2022-06-23,0.11176913084399498
강남,2022-06-24,0.08851424327232751
강남,2022-06-25,0.07563364887900308
강남,2022-06-26,0.07303021030376153
강남,2022-06-27,0.08096552377831061
강남,2022-06-28,0.07827280894120417
강남,2022-06-29,0.11050146670682601
강남,2022-06-30,0.20176948090619914
강남,2022-07-01,0.10497993147262726
강남,2022-07-02,0.07899418442523005
강남,2022-07-03,0.07457666782222963
강남,2022-07-04,0.07601861652072048
강남,2022-07-05,0.07568103907014356
강남,2022-07-06,0.08564320549788801
강남,2022-07-07,0.08356600727668641
강남,2022-07-08,0.07820923602921064
강남,2022-07-09,0.07586384990311622
강남,2022-07-10,0.07527201807996435
강남,2022-07-11,0.07794194589560167
강남,2022-07-12,0.07528483533489783
강남,2022-07-13,0.1512191091673222
강남,2022-07-14,0.08889745614066175
강남,2022-07-15,0.08023532423191874
강남,2022-07-16,0.07766934879497149
강남,2022-07-17,0.07645209612925641
강남,2022-07-18,0.07783931313950185
강남,2022-07-19,0.07716734871666205
강남,2022-07-20,0.07822297489939979
강남,2022-07-21,0.08956526403967487
강남,2022-07-22,0.08800676664946379
강남,2022-07-23,0.07928483468304291
강남,2022-07-24,0.07679509413819875
강남,2022-07-25,0.07488193275115261
강남,2022-07-26,0.0755366567245266
강남,2022-07-27,0.07476134017759432
강남,2022-07-28,0.07458204335863536
강남,2022-07-29,0.0749590257532211
강남,2022-07-30,0.0749347599861809
강남,2022-07-31,0.09784538111862248
강남,2022-08-01,0.10009784449761502
강남,2022-08-02,0.08865265740180057
강남,2022-08-03,0.10911722741794659
강남,2022-08-04,0.07916503840147451
강남,2022-08-05,0.07924301199761706
강남,2022-08-06,0.08255960793939732
강남,2022-08-07,0.07916861260010977
강남,2022-08-08,0.17988947602379615
강남,2022-08-09,0.20476043833059956
강남,2022-08-10,0.12714239634359895
강남,2022-08-11,0.13627160804640448
강남,2022-08-12,0.09567736508525698
강남,2022-08-13,0.09114026249197874
강남,2022-08-14,0.08760431058077654
강남,2022-08-15,0.0852908536292189
강남,2022-08-16,0.08435632941804995
강남,2022-08-17,0.08343857153102004
강남,2022-08-18,0.08308243630548408
강남,2022-08-19,0.10296341001182233
강남,2022-08-20,0.0882741858129158
강남,2022-08-21,0.08220281756684074
강남,2022-08-22,0.08492752800689014
강남,2022-08-23,0.0883463556349998
강남,2022-08-24,0.08319811870872369
강남,2022-08-25,0.0826203614092238
강남,2022-08-26,0.08418884409365236
