자치구(구),날짜,1hr 최대 강수량(mm),일평균 강수량(mm),경사도(˚),해발고도(m),불투수면(%),녹지 면적율(%),하천 면적율(%),복개하천 개수(개),맨홀 개수(개),빗물받이 개수(개),빗물 펌프 개수(개),[AVG] 하수관로 비율(%),[MAX] 하수관로 비율(%),침수 피해(0/1)
종로,20180601,-0.4181898009894496,-0.3575475473846562,1.4571716493090487,1.7804708899454453,-0.8973776399537531,-0.9115436418879735,-0.8429529126831184,-0.28535055000256876,-0.5663309752632962,-0.8088623173716156,-0.6323195437279672,-1.300546270854843,-0.3394959908556391,0
종로,20180602,-0.4181898009894496,-0.3575475473846562,1.4571716493090487,1.7804708899454453,-0.8973776399537531,-0.9115436418879735,-0.8429529126831184,-0.28535055000256876,-0.5663309752632962,-0.8088623173716156,-0.6323195437279672,-1.3041916299100085,-0.3394959908556391,0
종로,20180603,-0.4181898009894496,-0.3575475473846562,1.4571716493090487,1.7804708899454453,-0.8973776399537531,-0.9115436418879735,-0.8429529126831184,-0.28535055000256876,-0.5663309752632962,-0.8088623173716156,-0.6323195437279672,-1.3155282596964322,-0.3394959908556391,0
종로,20180604,-0.4181898009894496,-0.3575475473846562,1.4571716493090487,1.7804708899454453,-0.8973776399537531,-0.9115436418879735,-0.8429529126831184,-0.28535055000256876,-0.5663309752632962,-0.8088623173716156,-0.6323195437279672,-1.3061643123271953,-0.3394959908556391,0
종로,20180605,-0.4181898009894496,-0.3575475473846562,1.4571716493090487,1.7804708899454453,-0.8973776399537531,-0.9115436418879735,-0.8429529126831184,-0.28535055000256876,-0.5663309752632962,-0.8088623173716156,-0.6323195437279672,-1.3060344058336064,-0.3394959908556391,0
종로,20180606,-0.4181898009894496,-0.3575475473846562,1.4571716493090487,1.7804708899454453,-0.8973776399537531,-0.9115436418879735,-0.8429529126831184,-0.28535055000256876,-0.5663309752632962,-0.8088623173716156,-0.6323195437279672,-1.3064964893153415,-0.3394959908556391,0
종로,20180607,-0.4181898009894496,-0.3575475473846562,1.4571716493090487,1.7804708899454453,-0.8973776399537531,-0.9115436418879735,-0.8429529126831184,-0.28535055000256876,-0.5663309752632962,-0.8088623173716156,-0.6323195437279672,-1.3019804951638796,-0.3394959908556391,0
종로,20180608,-0.4181898009894496,-0.3575475473846562,1.4571716493090487,1.7804708899454453,-0.8973776399537531,-0.9115436418879735,-0.8429529126831184,-0.28535055000256876,-0.5663309752632962,-0.8088623173716156,-0.6323195437279672,-1.3005948986502731,-0.33451081649427394,0
종로,20180609,-0.3581016061234444,-0.33572362717050613,1.4571716493090487,1.7804708899454453,-0.8973776399537531,-0.9115436418879735,-0.8429529126831184,-0.28535055000256876,-0.5663309752632962,-0.8088623173716156,-0.6323195437279672,-1.3062911033026234,-0.34448116512727106,0
종로,20180610,-0.3581016061234444,-0.33572362717050613,1.4571716493090487,1.7804708899454453,-0.8973776399537531,-0.9115436418879735,-0.8429529126831184,-0.28535055000256876,-0.5663309752632962,-0.8088623173716156,-0.6323195437279672,-1.3028742891057348,-0.3394959908556391,0
