자치구,불투수면적 비율
종로구,0.4201695208441446
중구,0.7505509917852135
용산구,0.4415714480812128
성동구,0.6335403726708075
광진구,0.5723629045782324
동대문구,0.7388652871042893
중랑구,0.5850592928575331
성북구,0.5247476981223111
강북구,0.36156009908056597
도봉구,0.40419694854887617
노원구,0.36999021115927844
은평구,0.3849541987169257
서대문구,0.5292335315901695
마포구,0.5368918803782908
양천구,0.67280893700334
강서구,0.3973904983720322
구로구,0.606687898089172
금천구,0.6038158504557393
영등포구,0.5961085384677878
동작구,0.6004252733900364
관악구,0.39187746112260563
서초구,0.36181450324779046
강남구,0.548861575659883
송파구,0.5724123350146486
강동구,0.4718259629101284
