구분명,측정일,수위비율
강남,2019-06-01,0.14
강남,2019-06-02,0.135
강남,2019-06-03,0.145
강남,2019-06-04,0.145
강남,2019-06-05,0.145
강남,2019-06-06,0.185
강남,2019-06-07,0.395
강남,2019-06-08,0.145
강남,2019-06-09,0.135
강남,2019-06-10,0.17
강남,2019-06-11,0.8
강남,2019-06-12,0.8
강남,2019-06-13,0.8
강남,2019-06-14,0.8
강남,2019-06-15,0.8
강남,2019-06-16,0.8
강남,2019-06-17,12.008
강남,2019-06-18,12.008
강남,2019-06-19,0.145
강남,2019-06-20,0.15
강남,2019-06-21,0.145
강남,2019-06-22,0.145
강남,2019-06-23,0.14
강남,2019-06-24,0.14
강남,2019-06-25,0.15
강남,2019-06-26,0.14
강남,2019-06-27,0.145
강남,2019-06-28,0.172
강남,2019-06-29,0.14
강남,2019-06-30,0.14
강남,2019-07-01,0.145
강남,2019-07-02,0.145
강남,2019-07-03,0.14
강남,2019-07-04,0.145
강남,2019-07-05,0.13
강남,2019-07-09,0.145
강남,2019-07-10,0.22
강남,2019-07-11,0.145
강남,2019-07-12,0.155
강남,2019-07-13,0.145
강남,2019-07-14,0.14
강남,2019-07-15,0.605
강남,2019-07-16,0.45
강남,2019-07-17,0.145
강남,2019-07-18,0.345
강남,2019-07-19,6.212
강남,2019-07-20,0.145
강남,2019-07-21,0.15
강남,2019-07-22,0.145
강남,2019-07-23,0.176
강남,2019-07-24,0.145
강남,2019-07-25,0.372
강남,2019-07-26,0.732
강남,2019-07-27,0.6679999999999999
강남,2019-07-28,0.528
강남,2019-07-29,0.13
강남,2019-07-30,0.125
강남,2019-07-31,0.715
강남,2019-08-01,0.704
강남,2019-08-02,0.26
강남,2019-08-03,0.145
강남,2019-08-04,0.25
강남,2019-08-05,0.172
강남,2019-08-06,0.14
강남,2019-08-07,0.2
강남,2019-08-08,0.145
강남,2019-08-09,0.145
강남,2019-08-10,0.18
강남,2019-08-11,0.136
강남,2019-08-12,0.45199999999999996
강남,2019-08-13,0.22400000000000003
강남,2019-08-14,0.14
강남,2019-08-15,0.868
강남,2019-08-16,0.868
강남,2019-08-17,0.8720000000000001
강남,2019-08-18,0.135
강남,2019-08-19,0.188
강남,2019-08-20,0.14
강남,2019-08-21,0.20400000000000001
강남,2019-08-22,0.13
강남,2019-08-23,0.125
강남,2019-08-24,0.14
강남,2019-08-25,0.135
강남,2019-08-26,0.145
강남,2019-08-27,0.37
강남,2019-08-28,0.196
강남,2019-08-29,0.845
강남,2019-08-30,0.12
강남,2019-08-31,0.2
강동,2019-06-01,0.36363636363636365
강동,2019-06-02,0.36363636363636365
강동,2019-06-03,0.36363636363636365
강동,2019-06-04,0.36363636363636365
강동,2019-06-05,0.36363636363636365
강동,2019-06-06,0.36363636363636365
강동,2019-06-07,0.36363636363636365
강동,2019-06-08,0.36363636363636365
강동,2019-06-09,0.36363636363636365
강동,2019-06-10,0.36363636363636365
강동,2019-06-11,0.36363636363636365
강동,2019-06-12,0.36363636363636365
강동,2019-06-13,0.36363636363636365
강동,2019-06-14,0.36363636363636365
강동,2019-06-15,0.36363636363636365
강동,2019-06-16,0.36363636363636365
강동,2019-06-17,0.36363636363636365
강동,2019-06-18,0.36363636363636365
강동,2019-06-19,0.36363636363636365
강동,2019-06-20,0.36363636363636365
강동,2019-06-21,0.36363636363636365
강동,2019-06-22,0.36363636363636365
강동,2019-06-23,0.36363636363636365
강동,2019-06-24,0.36363636363636365
강동,2019-06-28,0.36363636363636365
강동,2019-06-29,0.36363636363636365
강동,2019-06-30,0.36363636363636365
강동,2019-07-01,0.36363636363636365
강동,2019-07-02,0.36363636363636365
강동,2019-07-03,0.36363636363636365
강동,2019-07-04,0.36363636363636365
강동,2019-07-05,0.36363636363636365
강동,2019-07-09,0.36363636363636365
강동,2019-07-10,0.36363636363636365
강동,2019-07-11,0.36363636363636365
강동,2019-07-12,0.36363636363636365
강동,2019-07-13,0.36363636363636365
강동,2019-07-14,0.36363636363636365
강동,2019-07-15,0.71
강동,2019-07-16,0.36363636363636365
강동,2019-07-17,0.36363636363636365
강동,2019-07-18,0.36363636363636365
강동,2019-07-19,0.36363636363636365
강동,2019-07-20,0.36363636363636365
강동,2019-07-21,0.36363636363636365
강동,2019-07-22,0.36363636363636365
강동,2019-07-23,0.36363636363636365
강동,2019-07-24,0.36363636363636365
강동,2019-07-25,0.37
강동,2019-07-26,0.67
강동,2019-07-27,0.57
강동,2019-07-28,0.575
강동,2019-07-29,0.36363636363636365
강동,2019-07-30,0.36363636363636365
강동,2019-07-31,0.645
강동,2019-08-01,0.405
강동,2019-08-02,0.36363636363636365
강동,2019-08-03,0.36363636363636365
강동,2019-08-04,0.41
강동,2019-08-05,0.36363636363636365
강동,2019-08-06,0.36363636363636365
강동,2019-08-07,0.36363636363636365
강동,2019-08-08,0.36363636363636365
강동,2019-08-09,0.36363636363636365
강동,2019-08-10,0.36363636363636365
강동,2019-08-11,0.36363636363636365
강동,2019-08-12,0.42
강동,2019-08-13,1.04
강동,2019-08-14,0.995
강동,2019-08-15,1.06
강동,2019-08-16,0.48
강동,2019-08-17,0.36363636363636365
강동,2019-08-18,0.36363636363636365
강동,2019-08-19,0.36363636363636365
강동,2019-08-20,0.36363636363636365
강동,2019-08-21,0.36363636363636365
강동,2019-08-22,0.535
강동,2019-08-23,0.465
강동,2019-08-24,0.36363636363636365
강동,2019-08-25,0.36363636363636365
강동,2019-08-26,0.36363636363636365
강동,2019-08-27,0.36363636363636365
강동,2019-08-28,0.36363636363636365
강동,2019-08-29,0.985
강동,2019-08-30,0.36363636363636365
강동,2019-08-31,0.36363636363636365
강북,2019-06-01,0.08
강북,2019-06-02,0.08
강북,2019-06-03,0.08
강북,2019-06-04,0.08
강북,2019-06-05,0.08
강북,2019-06-06,0.16
강북,2019-06-07,0.27999999999999997
강북,2019-06-08,0.08
강북,2019-06-09,0.08
강북,2019-06-10,0.22
강북,2019-06-11,0.08
강북,2019-06-12,0.08
강북,2019-06-13,0.08
강북,2019-06-14,0.08
강북,2019-06-15,0.13999999999999999
강북,2019-06-16,0.08
강북,2019-06-17,0.08
강북,2019-06-18,0.12666666666666668
강북,2019-06-19,0.08
강북,2019-06-20,0.08
강북,2019-06-21,0.14666666666666667
강북,2019-06-22,0.08
강북,2019-06-23,0.08
강북,2019-06-24,0.08
강북,2019-06-25,0.08
강북,2019-06-26,0.08
강북,2019-06-27,0.08
강북,2019-06-28,0.08
강북,2019-06-29,0.08
강북,2019-06-30,0.08
강북,2019-07-01,0.08
강북,2019-07-02,0.08
강북,2019-07-03,0.08
강북,2019-07-04,0.07333333333333333
강북,2019-07-05,0.08
강북,2019-07-09,0.08
강북,2019-07-10,0.11333333333333334
강북,2019-07-11,0.10666666666666667
강북,2019-07-12,0.08666666666666667
강북,2019-07-13,0.08
강북,2019-07-14,0.08
강북,2019-07-15,0.3933333333333333
강북,2019-07-16,0.41333333333333333
강북,2019-07-17,0.08
강북,2019-07-18,0.08
강북,2019-07-19,0.08
강북,2019-07-20,0.09999999999999999
강북,2019-07-21,0.08
강북,2019-07-22,0.08
강북,2019-07-23,0.08
강북,2019-07-24,0.09333333333333334
강북,2019-07-25,0.15333333333333335
강북,2019-07-26,0.35333333333333333
강북,2019-07-27,0.09999999999999999
강북,2019-07-28,0.4066666666666667
강북,2019-07-29,0.08
강북,2019-07-30,0.08
강북,2019-07-31,0.5
강북,2019-08-01,0.21333333333333335
강북,2019-08-02,0.08
강북,2019-08-03,0.43333333333333335
강북,2019-08-04,0.45333333333333337
강북,2019-08-05,0.08
강북,2019-08-06,0.08
강북,2019-08-07,0.12
강북,2019-08-08,0.08
강북,2019-08-09,0.08
강북,2019-08-10,0.08
강북,2019-08-11,0.13333333333333333
강북,2019-08-12,0.26666666666666666
강북,2019-08-13,0.08666666666666667
강북,2019-08-14,0.08
강북,2019-08-15,0.20666666666666667
강북,2019-08-16,0.08666666666666667
강북,2019-08-17,0.08
강북,2019-08-18,0.08
강북,2019-08-19,0.08
강북,2019-08-20,0.08
강북,2019-08-21,0.08
강북,2019-08-22,0.08
강북,2019-08-23,0.08
강북,2019-08-24,0.08
강북,2019-08-25,0.08
강북,2019-08-26,0.08
강북,2019-08-27,0.10666666666666667
강북,2019-08-28,0.08
강북,2019-08-29,0.36000000000000004
강북,2019-08-30,0.22666666666666668
강북,2019-08-31,0.08
강서,2019-06-01,0.16799999999999998
강서,2019-06-02,0.16799999999999998
강서,2019-06-03,0.172
강서,2019-06-04,0.16799999999999998
강서,2019-06-05,0.16799999999999998
강서,2019-06-06,0.192
강서,2019-06-07,0.58
강서,2019-06-08,0.16399999999999998
강서,2019-06-09,0.3666666666666667
강서,2019-06-10,0.385
강서,2019-06-11,0.16799999999999998
강서,2019-06-12,0.16799999999999998
강서,2019-06-13,0.16399999999999998
강서,2019-06-14,0.16399999999999998
강서,2019-06-15,0.16399999999999998
강서,2019-06-16,0.16399999999999998
강서,2019-06-17,0.16399999999999998
강서,2019-06-18,0.53
강서,2019-06-19,0.16799999999999998
강서,2019-06-20,0.16799999999999998
강서,2019-06-21,0.16799999999999998
강서,2019-06-22,0.16799999999999998
강서,2019-06-23,0.16799999999999998
강서,2019-06-24,0.16399999999999998
강서,2019-06-25,0.16399999999999998
강서,2019-06-26,0.16399999999999998
강서,2019-06-27,0.16799999999999998
