자치구,날짜,[AVG] 하수관로 비율(%),[MAX] 하수관로 비율(%),사고[건]
종로,20180601,-1.3012544932834675,-0.33905182139819084,-0.007578828615058046
종로,20180602,-1.3049045975172255,-0.33905182139819084,-0.007578828615058046
종로,20180603,-1.3162559842403887,-0.33905182139819084,-0.36043927020683025
종로,20180604,-1.3068798477830752,-0.33905182139819084,-0.7132997117986024
종로,20180605,-1.3067497721896792,-0.33905182139819084,1.4038629377520306
종로,20180606,-1.3072124571673471,-0.33905182139819084,-0.7132997117986024
종로,20180607,-1.302690584528075,-0.33905182139819084,-0.36043927020683025
종로,20180608,-1.3013031843778953,-0.3340538805675857,-0.36043927020683025
종로,20180609,-1.3070068038028277,-0.3440497621388329,-0.36043927020683025
종로,20180610,-1.303585541925111,-0.33905182139819084,-0.007578828615058046
종로,20180611,-1.2884359642734597,-0.2662246843904693,0.6981420545684863
종로,20180612,-1.2929729885573487,-0.33905182139819084,1.0510024961602586
종로,20180613,-1.301646160519343,-0.3440497621388329,-1.4190205949821468
종로,20180614,-1.1008390256309701,0.056907488019313675,-0.36043927020683025
종로,20180615,-1.21851477864484,-0.1046585981855778,-0.36043927020683025
종로,20180616,-1.30876452513576,-0.33905182139819084,-0.007578828615058046
종로,20180617,-1.3104052016688648,-0.34904770296943805,-1.0661601533903746
종로,20180618,-1.3014005046975068,-0.32905593982694364,-0.36043927020683025
종로,20180619,-1.3045933764301294,-0.33905182139819084,-1.4190205949821468
종로,20180620,-1.2992741361440083,-0.3340538805675857,-1.4190205949821468
종로,20180621,-1.2945205936244897,-0.2290971235746943,-1.0661601533903746
종로,20180622,-1.2929847849597258,-0.3340538805675857,-1.0661601533903746
종로,20180623,-1.2889489497774553,-0.33905182139819084,0.34528161297671417
종로,20180624,-1.2842519772009122,-0.3340538805675857,-0.36043927020683025
종로,20180625,-1.236815047175701,-0.3340538805675857,-0.007578828615058046
종로,20180626,-0.661336968980867,0.1413624874832932,0.34528161297671417
종로,20180627,-1.186311127374251,-0.32905593982694364,-0.007578828615058046
종로,20180628,-1.0263571334361457,0.31394444232297136,-0.007578828615058046
종로,20180629,-1.144504484756589,-0.14872207632324178,-0.36043927020683025
종로,20180630,-1.1420897913928172,-0.05325120732484626,-0.36043927020683025
종로,20180701,-0.40573025439866056,0.2772248778080043,-1.4190205949821468
종로,20180702,-0.22191684916241217,0.13769053067194478,-0.36043927020683025
종로,20180703,-0.9379825359355067,-0.2772405539248853,-1.0661601533903746
종로,20180704,-1.1405030232610223,-0.3240579989963386,-0.7132997117986024
종로,20180705,-1.1798551433580025,-0.05202722202093988,-1.0661601533903746
종로,20180706,-1.2066128842184949,-0.32905593982694364,-0.7132997117986024
종로,20180707,-1.2315265790212768,-0.32905593982694364,0.6981420545684863
종로,20180708,-1.2385674668799593,-0.3340538805675857,-1.4190205949821468
종로,20180709,-1.2189298713724088,-0.2552088148560533,-0.36043927020683025
종로,20180710,-0.9906905874429119,0.012844009881649679,-0.007578828615058046
종로,20180711,-1.1543370858378978,-0.32905593982694364,0.6981420545684863
종로,20180712,-1.161271357356857,-0.3240579989963386,-1.0661601533903746
종로,20180713,-1.1690256957160112,-0.3240579989963386,-0.007578828615058046
종로,20180714,-1.1685966208721013,-0.3340538805675857,-0.007578828615058046
종로,20180715,-1.166387409900854,-0.32905593982694364,-1.0661601533903746
종로,20180716,-1.1800844138092912,-0.3340538805675857,-0.7132997117986024
종로,20180717,-1.184329438881856,-0.3340538805675857,0.6981420545684863
종로,20180718,-1.1727757369059502,-0.32905593982694364,0.34528161297671417
종로,20180719,-1.1668311071745094,-0.3240579989963386,-0.36043927020683025
종로,20180720,-1.168982483708544,-0.32905593982694364,0.6981420545684863
종로,20180721,-1.1650660292226631,-0.32905593982694364,-0.007578828615058046
종로,20180722,-1.1693050536438947,-0.32905593982694364,-1.0661601533903746
종로,20180723,-1.1842262070558423,-0.3240579989963386,0.6981420545684863
종로,20180724,-1.16036290231957,-0.32905593982694364,-0.7132997117986024
종로,20180725,-1.153759493210337,-0.32905593982694364,-1.4190205949821468
종로,20180726,-1.1541894079458555,-0.32905593982694364,-0.36043927020683025
종로,20180727,-1.1496604745623564,-0.3240579989963386,0.34528161297671417
종로,20180728,-1.111351360138338,-0.005515772375833847,-1.0661601533903746
종로,20180729,-1.1645671153125705,-0.32905593982694364,-1.0661601533903746
종로,20180730,-1.1812108980555271,-0.32905593982694364,-0.007578828615058046
종로,20180731,-1.1694321832966845,-0.32905593982694364,-0.7132997117986024
종로,20180801,-1.1523981669546175,-0.3240579989963386,-1.4190205949821468
종로,20180802,-1.1540150464479395,-0.32905593982694364,-0.36043927020683025
종로,20180803,-1.1715074989140266,-0.3240579989963386,-0.007578828615058046
종로,20180804,-1.1800707726390485,-0.3240579989963386,-0.36043927020683025
종로,20180805,-1.1506148725022018,0.2845687905310718,-1.4190205949821468
종로,20180806,-1.1501774270157863,-0.23684903169894042,-1.4190205949821468
종로,20180807,-1.1651627697675921,-0.3240579989963386,-0.007578828615058046
종로,20180808,-1.1659867932456813,-0.3240579989963386,-0.7132997117986024
종로,20180809,-1.1021261803103282,-0.10414860460882658,0.34528161297671417
종로,20180810,-1.1334983638358191,-0.31406211742509144,-1.4190205949821468
종로,20180811,-1.157851970682682,-0.3240579989963386,-1.0661601533903746
종로,20180812,-1.1375361651960292,-0.18544164083820885,-0.7132997117986024
종로,20180813,-1.152353488047351,-0.3240579989963386,0.34528161297671417
종로,20180814,-1.157237377919253,-0.3190600581657335,-0.36043927020683025
