자치구(구),날짜,1hr 최대 강수량(mm),일평균 강수량(mm),경사도(˚),해발고도(m),불투수면(%),녹지 면적율(%),하천 면적율(%),복개하천 개수(개),맨홀 개수(개),빗물받이 개수(개),빗물 펌프 개수(개),[AVG] 하수관로 비율(%),[MAX] 하수관로 비율(%),침수 피해(0/1)
강북,20210725,0.0,0.0,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.032448462824029536,0.0017946364833282351,0
강북,20210726,0.0,0.0,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.032127941471899665,0.0017946364833282351,0
강북,20210727,0.0,0.0,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.03189519775957901,0.0017946364833282351,0
강북,20210728,0.0,0.0,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.03271977547666309,0.0017946364833282351,0
강북,20210729,0.0,0.0,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.03286607150470883,0.0017946364833282351,0
강북,20210730,0.0,0.0,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.03271977547666309,0.0017946364833282351,0
강북,20210731,0.07327586206896551,0.02538787023977433,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.035092431317854056,0.009136331183848273,0
강북,20210801,0.06465517241379311,0.03385049365303244,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.03651682283036189,0.006036504545732641,0
강북,20210802,0.01293103448275862,0.009873060648801129,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.0349394854546823,0.0057102069868461315,0
강북,20210803,0.021551724137931036,0.007052186177715091,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.03361617125223571,0.0050576119180177435,0
강북,20210804,0.0,0.0,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.03249501155500278,0.0017946364833282351,0
강북,20210805,0.0,0.0,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.032488361719876756,0.0017946364833282351,0
강북,20210806,0.0,0.0,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.0322742374999454,0.0017946364833282351,0
강북,20210807,0.0,0.0,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.032949859220460655,0.0017946364833282351,0
강북,20210808,0.0,0.0,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.03331559934802946,0.0017946364833282351,0
강북,20210809,0.0,0.0,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.032373984797017905,0.0017946364833282351,0
강북,20210810,0.07758620689655173,0.02538787023977433,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.03365740010361725,0.013378199253594373,0
강북,20210811,0.017241379310344827,0.005641748942172073,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.03210134218885004,0.0017946364833282351,0
강북,20210812,0.008620689655172414,0.0028208744710860366,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.033053596441590546,0.004241868045273785,0
강북,20210813,0.0,0.0,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.032561509733899624,0.0017946364833282351,0
강북,20210814,0.0,0.0,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.032401914035601845,0.0017946364833282351,0
강북,20210815,0.0,0.0,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.032561509733899624,0.0017946364833282351,0
강북,20210816,0.0,0.0,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.03230216673852934,0.0017946364833282351,0
강북,20210817,0.02586206896551724,0.015514809590973202,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.033048276561998845,0.002610380348730499,0
강북,20210818,0.008620689655172414,0.004231311706629055,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.03337145782519735,0.0029366778831446927,0
강북,20210819,0.0,0.0,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.032207739321048555,0.0019577852554297955,0
강북,20210820,0.004310344827586207,0.0014104372355430183,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.032566829613491326,0.002610380348730499,0
강북,20210821,0.22413793103448276,0.18758815232722142,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.05394600162663421,0.015009686950137659,0
강북,20210822,0.004310344827586207,0.0014104372355430183,1.0000000000000002,0.9999999999999999,0.0,0.04639391481864705,0.034113768980505055,1.0,0.5086880466472302,0.2361104025304832,0.049019607843137254,0.03421731500319379,0.0019577852554297955,0
